Datum,Wettkampf,Gerät,Mannschaft,Turner,D-Note,Endwert,Score
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Ringe,TG Wangen-Eisenharz,"Steinhauser, Nico","3,1","11,15",3
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Ringe,Grötzingen-Karlsruhe,"Enderle, Gerrit","2,6","11,00",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Ringe,TG Wangen-Eisenharz,"Drechsel, Manuel","3,5","11,25",1
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Ringe,Grötzingen-Karlsruhe,"Bertsch, Julian","2,7","9,75",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Ringe,TG Wangen-Eisenharz,"Ruf, Elias","3,8","11,55",4
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Sprung,Grötzingen-Karlsruhe,"Eder, Neyén Eitan","3,2","11,95",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Sprung,TG Wangen-Eisenharz,"Ruf, Elias","4,0","12,40",2
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Sprung,Grötzingen-Karlsruhe,"Schneider, Sebastian","3,2","11,30",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Sprung,TG Wangen-Eisenharz,"Kimmerle, Felix","3,2","11,85",3
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Sprung,Grötzingen-Karlsruhe,"Kramer, Julius","3,2","11,95",1
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Sprung,TG Wangen-Eisenharz,"von Kirn, Julian","3,2","11,75",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Sprung,Grötzingen-Karlsruhe,"Huber, Leo","2,4","11,10",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Sprung,TG Wangen-Eisenharz,"Drechsel, Manuel","4,0","12,55",4
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Barren,Grötzingen-Karlsruhe,"Bertsch, Julian","2,5","10,70",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Barren,TG Wangen-Eisenharz,"Mittmann, Moritz","3,4","11,85",4
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Barren,Grötzingen-Karlsruhe,"Huber, Leo","3,0","11,35",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Barren,TG Wangen-Eisenharz,"Kimmerle, Felix","3,2","11,65",2
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Barren,Grötzingen-Karlsruhe,"Kramer, Julius","2,4","10,90",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Barren,TG Wangen-Eisenharz,"Drechsel, Manuel","3,5","11,30",2
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Barren,Grötzingen-Karlsruhe,"Enderle, Gerrit","2,5","11,45",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Barren,TG Wangen-Eisenharz,"Schober, Pascal","3,7","12,35",3
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Reck,Grötzingen-Karlsruhe,"Kramer, Julius","2,6","10,70",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Reck,TG Wangen-Eisenharz,"Ruf, Elias","2,9","11,05",2
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Reck,Grötzingen-Karlsruhe,"Weiss, Sverre","3,0","10,80",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Reck,TG Wangen-Eisenharz,"Drechsel, Manuel","3,1","11,20",2
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Reck,Grötzingen-Karlsruhe,"Huber, Leo","2,3","6,30",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Reck,TG Wangen-Eisenharz,"von Kirn, Julian","2,6","11,15",5
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Reck,Grötzingen-Karlsruhe,"Brücher, Björn","2,5","10,30",0
21.10.2023,Grötzingen-Karlsruhe - TG Wangen-Eisenharz,Reck,TG Wangen-Eisenharz,"Kimmerle, Felix","2,7","11,10",3
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Boden,Grötzingen-Karlsruhe,"Kramer, Julius","3,9","11,80",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Boden,TSV Unterföhring,"Bircks, Oliver","3,8","11,85",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Boden,Grötzingen-Karlsruhe,"Weiss, Sverre","3,7","11,45",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Boden,TSV Unterföhring,"Isztl, Daniel","3,5","11,45",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Boden,Grötzingen-Karlsruhe,"Bertsch, Julian","3,4","9,60",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Boden,TSV Unterföhring,"Wolf, Sebastian","3,8","11,40",4
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Boden,Grötzingen-Karlsruhe,"Eder, Neyén Eitan","3,2","10,40",2
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Boden,TSV Unterföhring,"Zander, Daniel","5,1","9,95",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Pferd,Grötzingen-Karlsruhe,"Roth, Tobias","2,3","5,05",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Pferd,TSV Unterföhring,"Eiglmeier, Christoph","2,6","10,30",5
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Pferd,Grötzingen-Karlsruhe,"Brücher, Björn","2,6","10,00",5
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Pferd,TSV Unterföhring,"Zander, Daniel","2,6","4,60",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Pferd,Grötzingen-Karlsruhe,"Schneider, Sebastian","2,4","5,20",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Pferd,TSV Unterföhring,"Bircks, Oliver","2,5","9,35",5
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Pferd,Grötzingen-Karlsruhe,"Kramer, Julius","2,5","7,65",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Pferd,TSV Unterföhring,"Wolf, Sebastian","2,5","7,55",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Ringe,Grötzingen-Karlsruhe,"Brücher, Björn","2,9","10,65",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Ringe,TSV Unterföhring,"Bircks, Oliver","2,9","10,85",1
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Ringe,Grötzingen-Karlsruhe,"Bertsch, Julian","2,8","9,30",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Ringe,TSV Unterföhring,"Bircks, Florian","2,4","9,95",3
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Ringe,Grötzingen-Karlsruhe,"Roth, Tobias","2,5","10,35",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Ringe,TSV Unterföhring,"Eiglmeier, Christoph","3,3","10,75",2
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Ringe,Grötzingen-Karlsruhe,"Weiss, Sverre","2,2","5,40",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Ringe,TSV Unterföhring,"Zander, Daniel","4,8","11,45",10
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Sprung,Grötzingen-Karlsruhe,"Kramer, Julius","3,2","12,00",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Sprung,TSV Unterföhring,"Eiglmeier, Christoph","4,0","12,45",2
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Sprung,Grötzingen-Karlsruhe,"Huber, Leo","2,4","11,15",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Sprung,TSV Unterföhring,"Isztl, Daniel","4,0","12,15",3
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Sprung,Grötzingen-Karlsruhe,"Brücher, Björn","2,4","11,20",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Sprung,TSV Unterföhring,"Bircks, Oliver","4,0","12,45",4
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Sprung,Grötzingen-Karlsruhe,"Eder, Neyén Eitan","3,2","11,80",2
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Sprung,TSV Unterföhring,"Zander, Daniel","4,0","11,50",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Barren,Grötzingen-Karlsruhe,"Enderle, Gerrit","2,5","11,50",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Barren,TSV Unterföhring,"Rolle, Andreas","2,7","11,40",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Barren,Grötzingen-Karlsruhe,"Huber, Leo","3,0","10,45",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Barren,TSV Unterföhring,"Bircks, Oliver","2,5","11,00",3
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Barren,Grötzingen-Karlsruhe,"Kramer, Julius","2,2","7,90",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Barren,TSV Unterföhring,"Isztl, Daniel","3,2","10,80",5
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Barren,Grötzingen-Karlsruhe,"Brücher, Björn","2,4","10,20",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Barren,TSV Unterföhring,"Zander, Daniel","3,8","11,85",4
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Reck,Grötzingen-Karlsruhe,"Roth, Tobias","2,5","10,40",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Reck,TSV Unterföhring,"Marin Ogalla, Pablo","3,6","11,80",4
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Reck,Grötzingen-Karlsruhe,"Kramer, Julius","2,5","10,25",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Reck,TSV Unterföhring,"Isztl, Daniel","2,9","11,00",3
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Reck,Grötzingen-Karlsruhe,"Weiss, Sverre","3,1","8,60",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Reck,TSV Unterföhring,"Bircks, Oliver","2,7","10,70",5
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Reck,Grötzingen-Karlsruhe,"Brücher, Björn","2,3","6,25",0
07.10.2023,Grötzingen-Karlsruhe - TSV Unterföhring,Reck,TSV Unterföhring,"Wolf, Sebastian","2,9","10,70",5
30.09.2023,Grötzingen-Karlsruhe - USC München,Boden,Grötzingen-Karlsruhe,"Brücher, Björn","3,1","10,10",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Boden,USC München,"Bouchi, Rayan","3,2","11,35",4
30.09.2023,Grötzingen-Karlsruhe - USC München,Boden,Grötzingen-Karlsruhe,"Richter, Marco","3,8","11,50",1
30.09.2023,Grötzingen-Karlsruhe - USC München,Boden,USC München,"Seipl, Paul","3,3","11,25",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Boden,Grötzingen-Karlsruhe,"Kramer, Julius","3,6","11,65",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Boden,USC München,"Röhr, Alessio","3,4","11,55",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Boden,Grötzingen-Karlsruhe,"Weiss, Sverre","3,5","11,95",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Boden,USC München,"Huber, Paul","3,3","11,85",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Pferd,Grötzingen-Karlsruhe,"Rudat, Jens","2,7","10,85",4
30.09.2023,Grötzingen-Karlsruhe - USC München,Pferd,USC München,"Seipl, Paul","2,5","9,50",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Pferd,Grötzingen-Karlsruhe,"Brücher, Björn","2,6","9,85",5
30.09.2023,Grötzingen-Karlsruhe - USC München,Pferd,USC München,"Bouchi, Rayan","2,4","6,85",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Pferd,Grötzingen-Karlsruhe,"Roth, Tobias","2,5","10,85",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Pferd,USC München,"Ritung, Ken","3,6","11,25",2
30.09.2023,Grötzingen-Karlsruhe - USC München,Pferd,Grötzingen-Karlsruhe,"Richter, Marco","2,5","10,80",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Pferd,USC München,"Pfinder, Moritz","3,3","11,00",1
30.09.2023,Grötzingen-Karlsruhe - USC München,Ringe,Grötzingen-Karlsruhe,"Huber, Leo","2,9","9,70",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Ringe,USC München,"Peindl, Severin","2,5","11,20",4
30.09.2023,Grötzingen-Karlsruhe - USC München,Ringe,Grötzingen-Karlsruhe,"Enderle, Gerrit","2,5","9,90",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Ringe,USC München,"Huber, David","2,4","10,95",4
30.09.2023,Grötzingen-Karlsruhe - USC München,Ringe,Grötzingen-Karlsruhe,"Roth, Tobias","2,5","10,85",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Ringe,USC München,"Huber, Paul","2,9","10,95",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Ringe,Grötzingen-Karlsruhe,"Brücher, Björn","2,9","10,35",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Ringe,USC München,"Seipl, Paul","2,4","10,50",1
30.09.2023,Grötzingen-Karlsruhe - USC München,Sprung,Grötzingen-Karlsruhe,"Kramer, Julius","3,2","11,95",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Sprung,USC München,"Bouchi, Rayan","3,2","12,20",1
30.09.2023,Grötzingen-Karlsruhe - USC München,Sprung,Grötzingen-Karlsruhe,"Huber, Leo","2,4","11,35",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Sprung,USC München,"Schnippe, Lukas","3,2","12,10",3
30.09.2023,Grötzingen-Karlsruhe - USC München,Sprung,Grötzingen-Karlsruhe,"Brücher, Björn","2,4","10,65",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Sprung,USC München,"Ritung, Ken","4,0","13,20",5
30.09.2023,Grötzingen-Karlsruhe - USC München,Sprung,Grötzingen-Karlsruhe,"Schneider, Sebastian","2,2","10,40",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Sprung,USC München,"Röhr, Alessio","4,0","12,70",5
30.09.2023,Grötzingen-Karlsruhe - USC München,Barren,Grötzingen-Karlsruhe,"Bratan, Lazar","2,6","11,30",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Barren,USC München,"Huber, David","2,5","11,55",1
30.09.2023,Grötzingen-Karlsruhe - USC München,Barren,Grötzingen-Karlsruhe,"Enderle, Gerrit","2,5","11,70",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Barren,USC München,"Huber, Paul","2,5","11,60",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Barren,Grötzingen-Karlsruhe,"Huber, Leo","3,0","11,20",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Barren,USC München,"Peindl, Severin","2,6","11,25",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Barren,Grötzingen-Karlsruhe,"Kramer, Julius","2,4","10,40",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Barren,USC München,"Ritung, Ken","3,1","10,55",1
30.09.2023,Grötzingen-Karlsruhe - USC München,Reck,Grötzingen-Karlsruhe,"Hanke, Thomas","2,6","11,05",3
30.09.2023,Grötzingen-Karlsruhe - USC München,Reck,USC München,"Bouchi, Rayan","2,5","10,45",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Reck,Grötzingen-Karlsruhe,"Weiss, Sverre","2,4","10,75",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Reck,USC München,"Hechtl, Dominik","2,5","11,00",1
30.09.2023,Grötzingen-Karlsruhe - USC München,Reck,Grötzingen-Karlsruhe,"Kramer, Julius","1,9","9,00",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Reck,USC München,"Pfinder, Moritz","2,6","9,25",1
30.09.2023,Grötzingen-Karlsruhe - USC München,Reck,Grötzingen-Karlsruhe,"Roth, Tobias","2,5","10,90",0
30.09.2023,Grötzingen-Karlsruhe - USC München,Reck,USC München,"Ritung, Ken","3,4","11,25",2
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Boden,KTT Heilbronn,"Payer, Stefan","4,0","10,00",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Boden,KTV Hohenlohe,"Philippiak, Ron","3,5","10,40",2
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Boden,KTT Heilbronn,"Thiele, Moritz","3,4","11,10",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Boden,KTV Hohenlohe,"Bortt, Silas","3,4","11,20",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Boden,KTT Heilbronn,"Hofmann, Jakob","3,9","11,15",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Boden,KTV Hohenlohe,"Schmidt, Micha Joel","3,5","11,25",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Boden,KTT Heilbronn,"Späth, Fabian","3,7","11,15",4
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Boden,KTV Hohenlohe,"Albrecht, Jonas","3,8","10,10",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Pferd,KTT Heilbronn,"Thiele, Moritz","2,7","10,40",0
07.10.2023,KTT Heilbronn - KTV Hohenlohe,Pferd,KTV Hohenlohe,"Pfleger, Julian","2,9","10,75",2
